desc1,desc2,value,date
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,353,1981
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,328,1982
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,316,1983
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,318,1984
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,287,1985
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,327,1986
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,295,1987
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,304,1988
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,301,1989
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,287,1990
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,269,1991
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,260,1992
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,249,1993
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,254,1994
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,233,1995
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,240,1996
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,257,1997
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,252,1998
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,251,1999
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,246,2000
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,229,2001
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,231,2002
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,228,2003
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,225,2004
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,235,2005
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,221,2006
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,224,2007
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,203,2008
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,201,2009
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,192,2010
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,189,2011
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,183,2012
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,179,2013
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,181,2014
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,404,1974
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,405,1975
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,424,1976
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,432,1977
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,463,1978
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,456,1979
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,466,1980
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,462,1981
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,457,1982
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,460,1983
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,447,1984
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,461,1985
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,494,1986
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,491,1987
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,492,1988
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,503,1989
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,475,1990
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,477,1991
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,491,1992
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,494,1993
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,480,1994
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,486,1995
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,504,1996
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,512,1997
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,499,1998
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,513,1999
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,506,2000
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,502,2001
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,505,2002
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,505,2003
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,536,2004
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,567,2005
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,566,2006
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,566,2007
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,557,2008
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,552,2009
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,565,2010
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,550,2011
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,551,2012
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,569,2013
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Other fresh vegetables,564,2014
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,372,1974
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,385,1975
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,397,1976
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,399,1977
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,389,1978
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,425,1979
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,417,1980
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,429,1981
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,428,1982
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,431,1983
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,422,1984
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,459,1985
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,484,1986
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,468,1987
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,466,1988
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,452,1989
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,446,1990
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,458,1991
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,454,1992
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,436,1993
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,427,1994
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,431,1995
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,442,1996
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,425,1997
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,410,1998
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,401,1999
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,395,2000
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,363,2001
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,365,2002
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,346,2003
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,345,2004
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,354,2005
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,355,2006
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,350,2007
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,358,2008
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,350,2009
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,350,2010
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,351,2011
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,352,2012
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,354,2013
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed vegetables excluding processed potatoes,334,2014
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,515,1974
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,511,1975
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,536,1976
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,512,1977
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,531,1978
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,574,1979
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,608,1980
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,585,1981
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,546,1982
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,571,1983
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,554,1984
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,540,1985
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,593,1986
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,592,1987
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,613,1988
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,626,1989
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,624,1990
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,629,1991
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,638,1992
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,636,1993
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,665,1994
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,693,1995
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,705,1996
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,731,1997
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,734,1998
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,729,1999
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,765,2000
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,750,2001
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,794,2002
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,789,2003
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,805,2004
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,856,2005
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,855,2006
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,855,2007
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,790,2008
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,762,2009
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,755,2010
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,764,2011
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,744,2012
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,744,2013
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh fruit,766,2014
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,216,1974
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,228,1975
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,226,1976
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,213,1977
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,218,1978
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,222,1979
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,250,1980
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,268,1981
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,278,1982
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,304,1983
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,297,1984
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,286,1985
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,348,1986
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,359,1987
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,361,1988
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,362,1989
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,338,1990
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,396,1991
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,362,1992
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,373,1993
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,374,1994
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,375,1995
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,383,1996
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,401,1997
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,421,1998
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,402,1999
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,424,2000
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,406,2001
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,413,2002
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,401,2003
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,363,2004
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,437,2005
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,458,2006
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,426,2007
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,409,2008
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,381,2009
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,378,2010
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,385,2011
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,362,2012
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,370,2013
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Processed fruit and fruit products,330,2014
